Qty;Value;Device;Package;Parts
1;470n;C-EUC0603;C0603;C1
3;220µ;CPOL-EUSMCD;SMC_D;C2, C9, C10
2;6.8p;C-EUC0603;C0603;C3, C4
6;100n;C-EUC0603;C0603;C5, C6, C7, C8, C14, C15
2;10µ;C-EUC0603;C0603;C11, C16
2;22µ;C-EUC0603;C0603;C12, C13
1;BAV23CLT1G;DIODE-2AC|CASOT23;SOT23;D1
1;SMAJ13A;SMAJ13A;DIOM4325X250N;D2
1;PRTR5V0U2X;PRTR5V0U2X;SOT190P230X110-4N;D3
1;LED;LEDCHIP-LED0805;CHIP-LED0805;D4
1;MF-MSMF020/60-2;MF-MSMF020/60-2;FUSER_MF-MSMF020/60-2;F1
1;SWD;FTSH-105-XX-X-DV;SAMTEC_FTSH-105-XX-X-DV;J1
1;Power 5V..12V DC;DCBARRELPTH;DCJACK_2MM_PTH;J2
1;FC68131;FC68131;CLIFF_FC68131;J3
2;S2B-XH-A(LF)(SN);S2B-XH-A(LF)(SN);JST_S2B-XH-A(LF)(SN);J4, J5
1;3.9 µH;SRR4818A-3R9Y;IND_SRR4818A-3R9Y;L1
1;47 µH;CLF7045NIT-470M-D;IND_CLF7045NIT-470M-D;L2
2;IRLML6344TRPBF;MOSFET-NREFLOW;SOT23;Q1, Q2
1;PMV50EPEAR;PMV50EPEAR;SOT23;Q3
2;150;R-EU_R0603;R0603;R1, R9
5;300;R-EU_R0603;R0603;R2, R6, R7, R8, R10
2;1k5;R-EU_R0603;R0603;R3, R13
1;0.02;R-EU_R1206;R1206;R4
4;100k;R-EU_R0603;R0603;R5, R11, R12, R21
2;39k;R-EU_R0603;R0603;R14, R16
1;115k;R-EU_R0603;R0603;R15
3;13k;R-EU_R0603;R0603;R17, R18, R20
1;42.2k;R-EU_R0603;R0603;R19
1;FSMRA6JH;FSMRA6JH;TE_FSMRA6JH;SW2
1;XICON_42TU200;XICON_42TU200;42TUXXX;TR1
1;SGM61410XN6G/TR;SGM61410XN6G/TR;SOT-23-6_SNC;U1
1;INA180A1IDBVR;INA180A1IDBVR;DBV5;U2
1;STM32G071KBT6;STM32G071KBT6;QFP80P900X900X160-32N;U3
4;VOT8024AM-T;VOT8024AM-T;SOP254P675X240-4N;U4, U5, U6, U7
1;AP63203;AP63203;SOT23-6;U8
1;32.768 kHz;NX3215SA-32.768K-STD-MUA-8;XTAL_NX3215SA-32.768K-STD-MUA-8;Y1